Year,Car casualty rate
2019,2254.51608
2019,1538.3877
2019,1457.99015
2019,1349.42127
2019,1447.33041
2019,811.024
2019,1396.39523
2019,1679.31517
2019,2076.13079
2019,1628.80024
2019,1060.04553
2019,972.22147
2019,1582.00166
2019,1051.12279
2019,1907.13229
2019,1766.22022
2019,1638.90352
2019,610.39234
2019,986.36384
2019,952.07513
2019,1223.79874
2019,1271.89856
2019,1176.48198
2019,1713.23067
2019,1821.62492
2019,742.35301
2019,1113.44604
2019,1318.15516
2019,1518.11421
2019,1252.78447
2019,743.15163
2019,1442.69221
2018,2485.87251
2018,1647.37084
2018,1500.45701
2018,1435.93464
2018,1383.28461
2018,926.68156
2018,1318.29577
2018,1652.13374
2018,2039.72217
2018,1582.88665
2018,933.25944
2018,938.37973
2018,1625.87206
2018,1031.38529
2018,1974.32218
2018,1899.45674
2018,1724.63458
2018,794.50703
2018,1113.97786
2018,832.05106
2018,1205.82848
2018,1485.82046
2018,1193.09749
2018,1610.77257
2018,2096.37396
2018,858.28627
2018,1040.16945
2018,1437.47708
2018,1495.09765
2018,1474.52114
2018,888.27901
2018,1476.55528
2017,2282.74746
2017,1856.61276
2017,1361.10253
2017,1461.55295
2017,1602.95819
2017,974.89353
2017,1455.16154
2017,1639.74604
2017,2082.92632
2017,1739.44401
2017,1025.62616
2017,972.68823
2017,2035.21812
2017,1052.71617
2017,1956.73315
2017,2060.57359
2017,2054.99814
2017,817.02128
2017,1252.07877
2017,933.51431
2017,1268.33062
2017,1380.65163
2017,1193.87339
2017,1629.32907
2017,2173.73296
2017,940.31071
2017,996.07933
2017,1353.06013
2017,1461.20975
2017,1557.14052
2017,856.90333
2017,1662.60887
2016,2116.63276
2016,1903.73573
2016,1307.40317
2016,1562.81416
2016,1642.75947
2016,836.78269
2016,1417.71993
2016,1762.84106
2016,1747.15973
2016,1562.01969
2016,990.76505
2016,962.96214
2016,1533.48345
2016,1101.49868
2016,2152.04345
2016,1550.56187
2016,1906.77107
2016,798.74605
2016,925.18153
2016,874.46836
2016,1238.14461
2016,1454.28285
2016,1360.78311
2016,1935.60875
2016,1948.21035
2016,806.75633
2016,1031.21418
2016,1117.5947
2016,1482.67695
2016,1435.59924
2016,945.91517
2016,1550.80084
2015,1876.4327
2015,1998.99392
2015,1354.57707
2015,1487.59922
2015,1563.76498
2015,1140.79956
2015,1295.40855
2015,1530.34901
2015,2012.58704
2015,1411.92054
2015,1044.57472
2015,919.68118
2015,1630.84907
2015,1359.6083
2015,2388.7428
2015,2018.57356
2015,1901.25386
2015,992.56891
2015,976.46962
2015,916.29448
2015,1192.85765
2015,1385.68906
2015,1290.54335
2015,1694.62497
2015,2021.61102
2015,724.07949
2015,744.57512
2015,974.29364
2015,1612.26951
2015,1486.1526
2015,858.38547
2015,1617.83581
2019,3086.10225
2018,3101.30944
2017,6532.53201
2016,6532.53201
2015,5251.14155
